shipper_id,shipper_name,shipper_contact_details,product_id,vehicle_maker,vehicle_model,vehicle_color,vehicle_model_year,vehicle_price,quantity,discount,customer_id,customer_name,gender,job_title,phone_number,email_address,city,country,state,customer_address,order_date,order_id,ship_date,ship_mode,shipping,postal_code,credit_card_type,credit_card_number,customer_feedback,quarter_number
1617,Feedmix,125-29-5865,4383,Jaguar,XJ Series,Indigo,2003,92186.18,1,0.6,55154-1385,Reece Pummell,Male,Design Engineer,864-849-1464,rpummelllf@hhs.gov,Greenville,United States,South Carolina,056 High Crossing Lane,2018-01-01,10237-833,2018-03-04,First Class,Air,29615,jcb,4.78E+15,Bad,1
3199,Oyoloo,850-05-1383,3513,Mercury,Monterey,Orange,2006,71183.23,2,0.69,52125-774,Jilleen Bennit,Female,Junior Executive,502-107-6172,jbennitpg@abc.net.au,Louisville,United States,Kentucky,3 Hagan Point,2018-01-01,22700-134,2018-01-26,Same Day,Truck,40256,maestro,2.99E+15,Very Good,1
1046,Oozz,684-23-0409,4520,Toyota,Land Cruiser,Fuscia,2011,82108.12,1,0.56,10157-9875,Bernadene Lorkings,Female,Administrative Officer,561-927-9650,blorkings6q@e-recht24.de,Delray Beach,United States,Florida,72 Becker Center,2018-01-01,39822-4200,2018-05-01,Second Class,Air,33448,diners-club-international,3.81E+15,Okay,1
3532,Thoughtbeat,825-86-8630,3616,Mitsubishi,Lancer,Blue,2004,96497.56,2,0.68,46123-039,Dominick Holdforth,Male,Engineer IV,410-617-9937,dholdforth96@auda.org.au,Baltimore,United States,Maryland,5 Prairie Rose Center,2018-01-01,49349-206,2018-04-03,Same Day,Air,21203,jcb,1.33E+15,Good,1
3047,Mydeo,128-94-2595,4700,Nissan,NX,Purple,1992,96090.34,1,0.66,40042-050,Vergil Grafton-Herbert,Male,Mechanical Systems Engineer,402-582-1673,vgraftonherberthn@sun.com,Omaha,United States,Nebraska,9152 Fisk Court,2018-01-01,51389-255,2018-02-18,Same Day,Air,68134,jcb,3.56E+15,Good,1
2453,Shuffledrive,572-63-8744,4880,Mercury,Sable,Green,1999,76200.97,2,0.63,42043-171,Tove Arrundale,Female,Engineer III,718-588-3004,tarrundale42@dagondesign.com,Bronx,United States,New York,22 Corben Trail,2018-01-01,63304-590,2018-01-31,Same Day,Truck,10454,jcb,4.25E+15,Good,1
1061,Skyvu,358-59-7146,4372,Mazda,626,Aquamarine,1991,96579.16,2,0.62,98132-728,Normie Ghelardoni,Male,Biostatistician IV,802-977-7779,nghelardoni91@rakuten.co.jp,Montpelier,United States,Vermont,851 Melvin Court,2018-02-01,0228-2801,2018-03-17,Same Day,Truck,5609,solo,2.39E+15,Bad,1
1519,Rhyzio,576-94-5231,4897,Ferrari,458 Italia,Red,2010,90756.74,1,0.41,48951-1035,Judye Dayes,Female,Research Associate,617-967-6138,jdayesbd@zdnet.com,Boston,United States,Massachusetts,675 1st Drive,2018-02-01,49349-361,2018-02-02,Standard Class,Air,2109,jcb,1.66E+15,Very Good,1
3857,Jatri,711-84-4357,3828,Dodge,Avenger,Blue,1997,87162.3,1,0.6,52033-001,Millard Corneille,Male,Dental Hygienist,202-263-8673,mcorneilledw@ucoz.ru,Washington,United States,District of Columbia,93 Hallows Circle,2018-03-01,0069-0079,2018-05-01,First Class,Air,20029,jcb,2.34E+15,Bad,1
2681,Jamia,602-57-0765,4949,Pontiac,Parisienne,Red,1986,87985.16,2,0.48,61314-294,Alf Alsina,Male,Engineer IV,806-457-6984,aalsinakt@chron.com,Lubbock,United States,Texas,3743 Corry Park,2018-03-01,0498-0015,2018-03-17,Second Class,Air,79452,jcb,1.38E+15,Good,1
1513,Skipstorm,569-13-4343,4504,Infiniti,J,Indigo,1993,93570.85,1,0.45,61336-001,Chrissie Whittaker,Male,Web Developer III,202-617-9627,cwhittaker1n@example.com,Washington,United States,District of Columbia,76 Eagle Crest Point,2018-03-01,0615-7565,2018-05-05,Standard Class,Truck,20005,laser,4.66E+15,Okay,1
1857,Minyx,809-80-4403,3550,Dodge,Intrepid,Violet,1993,75445.54,1,0.55,50458-194,Lee Twohig,Male,Staff Scientist,626-199-2056,ltwohiglx@fda.gov,Pasadena,United States,California,2847 Pankratz Way,2018-03-01,36987-1677,2018-04-27,Same Day,Air,91131,visa-electron,4.64E+15,Good,1
3783,Skipfire,562-45-7815,4585,Subaru,Outback,Pink,2011,81766.6,1,0.65,36987-3360,Sybille MacParland,Female,Financial Advisor,972-320-5465,smacparlandgb@linkedin.com,Dallas,United States,Texas,45476 Lien Crossing,2018-03-01,58232-0721,2018-05-15,Second Class,Truck,75241,jcb,2.93E+15,Bad,1
3465,Jabberstorm,679-45-4846,3796,Toyota,Highlander,Crimson,2003,95030.52,1,0.58,55154-3437,Sandor People,Male,Executive Secretary,816-953-4876,speople8k@lycos.com,Independence,United States,Missouri,246 Randy Junction,2018-02-01,0135-0504,2018-05-01,Same Day,Truck,64054,jcb,4.10E+15,Good,1
