customer_id,firstname,lastname,email_address,contact,branch_id,branch_latitude,branch_longitude,account_id,branch_city,branch_state,support_query_id,support_query_type,support_query_category,support_representative_id,call_duration,employee_id,empoyee_name,week_number,support_query_time_in_days
12807,Matthew,Rocha,Matthew.Rocha@bank.com,318.621.2218,1974,37.60876,-77.37331,25177756,Mechanicsville,New_York,14327,Education Loan,2,64,7,64,Popeye,1,3
15499,Leslie,Henry,Leslie.Henry@bank.com,-527251880,1737,40.72816,-74.07764,25236393,Jersey City,New_York,12549,Education Loan,2,55,12,55,Olive,1,5
14902,Meghan,Grant,Meghan.Grant@bank.com,001-015-942-84095839,1813,33.95015,-118.03917,24140414,South Whittier,Los_Angeles,10953,Education Loan,2,55,6,55,Olive,1,3
17561,Benjamin,Mcfarland,Benjamin.Mcfarland@bank.com,001-766-441-9821581544,1955,33.52253,-117.70755,10876051,Laguna Niguel,Los_Angeles,12186,Credit Card,3,56,15,56,Bluto,1,6
14896,Allen,Wright,Allen.Wright@bank.com,001-057-212-800459131,1093,41.16704,-73.20483,26111396,Bridgeport,New_York,12193,Personal Loan,4,58,6,58,Johny,1,4
18391,Robert,Miller,Robert.Miller@bank.com,-449754045,1778,31.84568,-102.36764,22054273,Odessa,Chicago,10964,Credit Card,3,63,7,63,Noddy,1,6
11949,Brian,Brown,Brian.Brown@bank.com,073-117-0763582878,1267,46.32374,-120.00865,11591418,Sunnyside,Los_Angeles,11264,Credit Card,3,63,14,63,Noddy,1,6
16352,Anthony,Berry,Anthony.Berry@bank.com,826-152-0751,1880,42.55308,-87.93341,19829531,Pleasant Prairie,Chicago,10297,Education Loan,2,59,10,59,Minnie,1,4
18015,Theresa,Green,Theresa.Green@bank.com,761.346.4641,1622,33.08014,-83.2321,16649295,Milledgeville,New_York,12778,Personal Loan,4,51,6,51,Ash,1,4
11468,John,Graham,John.Graham@bank.com,001-070-255-9878549736,1780,39.57582,-105.11221,26814213,Ken Caryl,Denver,14975,Credit Card,3,65,11,65,Mickey,1,3
